        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , GPU Power [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-03-26 14:13:41 ,          99.8   ,           2593.7   ,               44.0   ,          7   ,                        663   ,         0.0   ,             -   ,               42.0   ,                  7015   ,
2024-03-26 14:13:42 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        648   ,         0.0   ,             -   ,               41.0   ,                  7018   ,
2024-03-26 14:13:43 ,          99.8   ,           2593.7   ,               42.0   ,          1   ,                        647   ,         0.0   ,             -   ,               41.0   ,                  7014   ,
2024-03-26 14:13:44 ,          99.8   ,           2593.7   ,               44.0   ,          5   ,                        664   ,         0.0   ,             -   ,               43.0   ,                  7013   ,
2024-03-26 14:13:45 ,          99.8   ,           2593.7   ,               44.0   ,          9   ,                        666   ,         0.1   ,             -   ,               45.0   ,                  7023   ,
2024-03-26 14:13:46 ,          99.8   ,           2593.7   ,               44.0   ,          7   ,                        666   ,         0.1   ,             -   ,               44.0   ,                  7014   ,
2024-03-26 14:13:47 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        666   ,         0.0   ,             -   ,               42.0   ,                  7020   ,
2024-03-26 14:13:48 ,          99.8   ,           2593.7   ,               44.0   ,          5   ,                        666   ,         0.0   ,             -   ,               42.0   ,                  7015   ,
2024-03-26 14:13:49 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        666   ,         0.0   ,             -   ,               42.0   ,                  7016   ,
2024-03-26 14:13:50 ,          99.8   ,           2593.7   ,               44.0   ,          2   ,                        655   ,         0.0   ,             -   ,               42.0   ,                  7002   ,
2024-03-26 14:13:51 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        641   ,         0.0   ,             -   ,               42.0   ,                  7008   ,
2024-03-26 14:13:52 ,          99.8   ,           2593.7   ,               42.0   ,          0   ,                        641   ,         0.0   ,             -   ,               41.0   ,                  7006   ,
2024-03-26 14:13:53 ,          99.8   ,           2593.7   ,               41.0   ,          0   ,                        634   ,         0.0   ,             -   ,               40.0   ,                  7005   ,
2024-03-26 14:13:54 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        634   ,         0.0   ,             -   ,               41.0   ,                  7000   ,
2024-03-26 14:13:55 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        634   ,         0.0   ,             -   ,               41.0   ,                  6999   ,
2024-03-26 14:13:56 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        634   ,         0.0   ,             -   ,               41.0   ,                  6992   ,
2024-03-26 14:13:57 ,          99.8   ,           2593.7   ,               42.0   ,          0   ,                        634   ,         0.0   ,             -   ,               39.0   ,                  6975   ,
2024-03-26 14:13:58 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        634   ,         0.0   ,             -   ,               40.0   ,                  6973   ,
2024-03-26 14:13:59 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        634   ,         0.0   ,             -   ,               41.0   ,                  6967   ,
2024-03-26 14:14:00 ,          99.8   ,           2593.7   ,               42.0   ,          0   ,                        634   ,         0.0   ,             -   ,               40.0   ,                  6967   ,
2024-03-26 14:14:01 ,          99.8   ,           2593.7   ,               42.0   ,          0   ,                        634   ,         0.0   ,             -   ,               39.0   ,                  6965   ,
2024-03-26 14:14:02 ,          99.8   ,           2593.7   ,               41.0   ,          0   ,                        634   ,         0.0   ,             -   ,               40.0   ,                  6965   ,
2024-03-26 14:14:03 ,          99.8   ,           2593.7   ,               42.0   ,          4   ,                        638   ,         0.0   ,             -   ,               41.0   ,                  6971   ,
2024-03-26 14:14:04 ,          99.8   ,           2593.7   ,               42.0   ,          8   ,                        641   ,         0.1   ,             -   ,               43.0   ,                  6975   ,
2024-03-26 14:14:05 ,          99.8   ,           2593.7   ,               42.0   ,          1   ,                        646   ,         0.0   ,             -   ,               43.0   ,                  6986   ,
2024-03-26 14:14:06 ,          99.8   ,           2593.7   ,               42.0   ,          1   ,                        649   ,         0.0   ,             -   ,               43.0   ,                  6993   ,
2024-03-26 14:14:08 ,          99.8   ,           2593.7   ,               44.0   ,          0   ,                        649   ,         0.0   ,             -   ,               40.0   ,                  6991   ,
2024-03-26 14:14:09 ,          99.8   ,           2593.7   ,               42.0   ,          0   ,                        649   ,         0.0   ,             -   ,               41.0   ,                  6993   ,
2024-03-26 14:14:10 ,          99.8   ,           2593.7   ,               44.0   ,          9   ,                        649   ,         0.1   ,             -   ,               41.0   ,                  6987   ,
